     0.000   GOAL                   SET-BUFFER-CHUNK GOAL GOAL REQUESTED NIL 
     3.602   PROCEDURAL             CONFLICT-RESOLUTION 
     3.652   PROCEDURAL             PRODUCTION-FIRED ATTEND-FIRST-TILE 
     3.652   PROCEDURAL             CLEAR-BUFFER VISUAL-LOCATION 
     3.652   PROCEDURAL             CLEAR-BUFFER VISUAL 
     3.652   PROCEDURAL             CLEAR-BUFFER MANUAL 
     3.652   MOTOR                  MOVE-CURSOR OBJECT NIL LOC VISUAL-LOCATION1-6-0 
     3.652   PROCEDURAL             CONFLICT-RESOLUTION 
     3.692   PROCEDURAL             CONFLICT-RESOLUTION 
     3.693   PROCEDURAL             CONFLICT-RESOLUTION 
     3.694   PROCEDURAL             CONFLICT-RESOLUTION 
     3.695   PROCEDURAL             CONFLICT-RESOLUTION 
     3.696   PROCEDURAL             CONFLICT-RESOLUTION 
     3.697   PROCEDURAL             CONFLICT-RESOLUTION 
     3.698   PROCEDURAL             CONFLICT-RESOLUTION 
     3.699   PROCEDURAL             CONFLICT-RESOLUTION 
     3.700   PROCEDURAL             CONFLICT-RESOLUTION 
     3.701   PROCEDURAL             CONFLICT-RESOLUTION 
     3.702   PROCEDURAL             CONFLICT-RESOLUTION 
     3.703   PROCEDURAL             CONFLICT-RESOLUTION 
     3.704   PROCEDURAL             CONFLICT-RESOLUTION 
     3.705   PROCEDURAL             CONFLICT-RESOLUTION 
     3.706   PROCEDURAL             CONFLICT-RESOLUTION 
     3.707   PROCEDURAL             CONFLICT-RESOLUTION 
     3.708   PROCEDURAL             CONFLICT-RESOLUTION 
     3.709   PROCEDURAL             CONFLICT-RESOLUTION 
     3.710   PROCEDURAL             CONFLICT-RESOLUTION 
     3.711   PROCEDURAL             CONFLICT-RESOLUTION 
     3.712   PROCEDURAL             CONFLICT-RESOLUTION 
     3.713   PROCEDURAL             CONFLICT-RESOLUTION 
     3.714   PROCEDURAL             CONFLICT-RESOLUTION 
     3.715   PROCEDURAL             CONFLICT-RESOLUTION 
     3.716   PROCEDURAL             CONFLICT-RESOLUTION 
     3.717   PROCEDURAL             CONFLICT-RESOLUTION 
     3.718   PROCEDURAL             CONFLICT-RESOLUTION 
     3.719   PROCEDURAL             CONFLICT-RESOLUTION 
     3.720   PROCEDURAL             CONFLICT-RESOLUTION 
     3.721   PROCEDURAL             CONFLICT-RESOLUTION 
     3.722   PROCEDURAL             CONFLICT-RESOLUTION 
     3.723   PROCEDURAL             CONFLICT-RESOLUTION 
     3.724   PROCEDURAL             CONFLICT-RESOLUTION 
     3.725   PROCEDURAL             CONFLICT-RESOLUTION 
     3.726   PROCEDURAL             CONFLICT-RESOLUTION 
     3.727   PROCEDURAL             CONFLICT-RESOLUTION 
     3.728   PROCEDURAL             CONFLICT-RESOLUTION 
     3.729   PROCEDURAL             CONFLICT-RESOLUTION 
     3.730   PROCEDURAL             CONFLICT-RESOLUTION 
     3.731   PROCEDURAL             CONFLICT-RESOLUTION 
     3.732   PROCEDURAL             CONFLICT-RESOLUTION 
     3.733   PROCEDURAL             CONFLICT-RESOLUTION 
     3.734   PROCEDURAL             CONFLICT-RESOLUTION 
     3.735   PROCEDURAL             CONFLICT-RESOLUTION 
     3.736   PROCEDURAL             CONFLICT-RESOLUTION 
     3.737   VISION                 Encoding-complete VISUAL-LOCATION1-6-0 NIL 
     3.737   VISION                 SET-BUFFER-CHUNK VISUAL TEXT6 
     3.737   PROCEDURAL             CONFLICT-RESOLUTION 
     3.738   PROCEDURAL             CONFLICT-RESOLUTION 
     3.739   PROCEDURAL             CONFLICT-RESOLUTION 
     3.740   PROCEDURAL             CONFLICT-RESOLUTION 
     3.741   PROCEDURAL             CONFLICT-RESOLUTION 
     3.742   PROCEDURAL             CONFLICT-RESOLUTION 
     3.743   PROCEDURAL             CONFLICT-RESOLUTION 
     3.744   PROCEDURAL             CONFLICT-RESOLUTION 
     3.745   PROCEDURAL             CONFLICT-RESOLUTION 
     3.746   PROCEDURAL             CONFLICT-RESOLUTION 
     3.747   PROCEDURAL             CONFLICT-RESOLUTION 
     3.748   PROCEDURAL             CONFLICT-RESOLUTION 
     3.749   PROCEDURAL             CONFLICT-RESOLUTION 
     3.750   PROCEDURAL             CONFLICT-RESOLUTION 
     3.751   PROCEDURAL             CONFLICT-RESOLUTION 
     3.752   IMAGINAL               SET-BUFFER-CHUNK IMAGINAL TILE5 
     3.752   PROCEDURAL             CONFLICT-RESOLUTION 
     3.753   PROCEDURAL             CONFLICT-RESOLUTION 
     3.754   PROCEDURAL             CONFLICT-RESOLUTION 
     3.755   PROCEDURAL             CONFLICT-RESOLUTION 
     3.756   PROCEDURAL             CONFLICT-RESOLUTION 
     3.757   PROCEDURAL             CONFLICT-RESOLUTION 
     3.758   PROCEDURAL             CONFLICT-RESOLUTION 
     3.759   PROCEDURAL             CONFLICT-RESOLUTION 
     3.760   PROCEDURAL             CONFLICT-RESOLUTION 
     3.770   PROCEDURAL             CONFLICT-RESOLUTION 
     3.820   PROCEDURAL             PRODUCTION-FIRED CLICK-FIRST-TILE 
     3.820   PROCEDURAL             CLEAR-BUFFER MANUAL 
     3.820   MOTOR                  CLICK-MOUSE 
     3.820   PROCEDURAL             CONFLICT-RESOLUTION 
     3.850   PROCEDURAL             CONFLICT-RESOLUTION 
     3.860   PROCEDURAL             CONFLICT-RESOLUTION 
     3.870   MOTOR                  OUTPUT-KEY #(28 2) 
*** CONCENTRATION: Clicked 6 #(5 106).
     3.870   PROCEDURAL             CONFLICT-RESOLUTION 
     3.880   PROCEDURAL             CONFLICT-RESOLUTION 
     3.930   PROCEDURAL             PRODUCTION-FIRED READ-FIRST-TILE 
     3.930   PROCEDURAL             CLEAR-BUFFER VISUAL 
     3.930   PROCEDURAL             CLEAR-BUFFER IMAGINAL 
     3.930   PROCEDURAL             CONFLICT-RESOLUTION 
     4.130   IMAGINAL               SET-BUFFER-CHUNK IMAGINAL TILE6 
     4.130   PROCEDURAL             CONFLICT-RESOLUTION 
     4.180   PROCEDURAL             PRODUCTION-FIRED FIND-RANDOM-SECOND-TILE 
     4.180   PROCEDURAL             CLEAR-BUFFER VISUAL-LOCATION 
     4.180   VISION                 Find-location 
     4.180   VISION                 SET-BUFFER-CHUNK VISUAL-LOCATION VISUAL-LOCATION14-7 
     4.180   PROCEDURAL             CONFLICT-RESOLUTION 
     4.230   PROCEDURAL             PRODUCTION-FIRED ATTEND-SECOND-TILE 
     4.230   PROCEDURAL             CLEAR-BUFFER VISUAL-LOCATION 
     4.230   PROCEDURAL             CLEAR-BUFFER VISUAL 
     4.230   PROCEDURAL             CLEAR-BUFFER MANUAL 
     4.230   MOTOR                  MOVE-CURSOR OBJECT NIL LOC VISUAL-LOCATION14-7-0 
     4.230   PROCEDURAL             CONFLICT-RESOLUTION 
     4.270   PROCEDURAL             CONFLICT-RESOLUTION 
     4.271   PROCEDURAL             CONFLICT-RESOLUTION 
     4.272   PROCEDURAL             CONFLICT-RESOLUTION 
     4.273   PROCEDURAL             CONFLICT-RESOLUTION 
     4.274   PROCEDURAL             CONFLICT-RESOLUTION 
     4.275   PROCEDURAL             CONFLICT-RESOLUTION 
     4.276   PROCEDURAL             CONFLICT-RESOLUTION 
     4.277   PROCEDURAL             CONFLICT-RESOLUTION 
     4.278   PROCEDURAL             CONFLICT-RESOLUTION 
     4.279   PROCEDURAL             CONFLICT-RESOLUTION 
     4.280   PROCEDURAL             CONFLICT-RESOLUTION 
     4.281   PROCEDURAL             CONFLICT-RESOLUTION 
     4.282   PROCEDURAL             CONFLICT-RESOLUTION 
     4.283   PROCEDURAL             CONFLICT-RESOLUTION 
     4.284   PROCEDURAL             CONFLICT-RESOLUTION 
     4.285   PROCEDURAL             CONFLICT-RESOLUTION 
     4.286   PROCEDURAL             CONFLICT-RESOLUTION 
     4.287   PROCEDURAL             CONFLICT-RESOLUTION 
     4.288   PROCEDURAL             CONFLICT-RESOLUTION 
     4.289   PROCEDURAL             CONFLICT-RESOLUTION 
     4.290   PROCEDURAL             CONFLICT-RESOLUTION 
     4.291   PROCEDURAL             CONFLICT-RESOLUTION 
     4.292   PROCEDURAL             CONFLICT-RESOLUTION 
     4.293   PROCEDURAL             CONFLICT-RESOLUTION 
     4.294   PROCEDURAL             CONFLICT-RESOLUTION 
     4.295   PROCEDURAL             CONFLICT-RESOLUTION 
     4.296   PROCEDURAL             CONFLICT-RESOLUTION 
     4.297   PROCEDURAL             CONFLICT-RESOLUTION 
     4.298   PROCEDURAL             CONFLICT-RESOLUTION 
     4.299   PROCEDURAL             CONFLICT-RESOLUTION 
     4.300   PROCEDURAL             CONFLICT-RESOLUTION 
     4.301   PROCEDURAL             CONFLICT-RESOLUTION 
     4.302   PROCEDURAL             CONFLICT-RESOLUTION 
     4.303   PROCEDURAL             CONFLICT-RESOLUTION 
     4.304   PROCEDURAL             CONFLICT-RESOLUTION 
     4.305   PROCEDURAL             CONFLICT-RESOLUTION 
     4.306   PROCEDURAL             CONFLICT-RESOLUTION 
     4.307   PROCEDURAL             CONFLICT-RESOLUTION 
     4.308   PROCEDURAL             CONFLICT-RESOLUTION 
     4.309   PROCEDURAL             CONFLICT-RESOLUTION 
     4.310   PROCEDURAL             CONFLICT-RESOLUTION 
     4.311   PROCEDURAL             CONFLICT-RESOLUTION 
     4.312   PROCEDURAL             CONFLICT-RESOLUTION 
     4.313   PROCEDURAL             CONFLICT-RESOLUTION 
     4.314   PROCEDURAL             CONFLICT-RESOLUTION 
     4.315   VISION                 Encoding-complete VISUAL-LOCATION14-7-0 NIL 
     4.315   VISION                 SET-BUFFER-CHUNK VISUAL TEXT7 
     4.315   PROCEDURAL             CONFLICT-RESOLUTION 
     4.316   PROCEDURAL             CONFLICT-RESOLUTION 
     4.317   PROCEDURAL             CONFLICT-RESOLUTION 
     4.318   PROCEDURAL             CONFLICT-RESOLUTION 
     4.319   PROCEDURAL             CONFLICT-RESOLUTION 
     4.320   PROCEDURAL             CONFLICT-RESOLUTION 
     4.321   PROCEDURAL             CONFLICT-RESOLUTION 
     4.322   PROCEDURAL             CONFLICT-RESOLUTION 
     4.323   PROCEDURAL             CONFLICT-RESOLUTION 
     4.324   PROCEDURAL             CONFLICT-RESOLUTION 
     4.325   PROCEDURAL             CONFLICT-RESOLUTION 
     4.326   PROCEDURAL             CONFLICT-RESOLUTION 
     4.327   PROCEDURAL             CONFLICT-RESOLUTION 
     4.328   PROCEDURAL             CONFLICT-RESOLUTION 
     4.329   PROCEDURAL             CONFLICT-RESOLUTION 
     4.330   PROCEDURAL             CONFLICT-RESOLUTION 
     4.331   PROCEDURAL             CONFLICT-RESOLUTION 
     4.332   PROCEDURAL             CONFLICT-RESOLUTION 
     4.333   PROCEDURAL             CONFLICT-RESOLUTION 
     4.334   PROCEDURAL             CONFLICT-RESOLUTION 
     4.335   PROCEDURAL             CONFLICT-RESOLUTION 
     4.336   PROCEDURAL             CONFLICT-RESOLUTION 
     4.337   PROCEDURAL             CONFLICT-RESOLUTION 
     4.338   PROCEDURAL             CONFLICT-RESOLUTION 
     4.339   PROCEDURAL             CONFLICT-RESOLUTION 
     4.340   PROCEDURAL             CONFLICT-RESOLUTION 
     4.341   PROCEDURAL             CONFLICT-RESOLUTION 
     4.342   PROCEDURAL             CONFLICT-RESOLUTION 
     4.343   PROCEDURAL             CONFLICT-RESOLUTION 
     4.344   PROCEDURAL             CONFLICT-RESOLUTION 
     4.345   PROCEDURAL             CONFLICT-RESOLUTION 
     4.346   PROCEDURAL             CONFLICT-RESOLUTION 
     4.347   PROCEDURAL             CONFLICT-RESOLUTION 
     4.348   PROCEDURAL             CONFLICT-RESOLUTION 
     4.349   PROCEDURAL             CONFLICT-RESOLUTION 
     4.350   PROCEDURAL             CONFLICT-RESOLUTION 
     4.351   PROCEDURAL             CONFLICT-RESOLUTION 
     4.352   PROCEDURAL             CONFLICT-RESOLUTION 
     4.353   PROCEDURAL             CONFLICT-RESOLUTION 
     4.354   PROCEDURAL             CONFLICT-RESOLUTION 
     4.355   PROCEDURAL             CONFLICT-RESOLUTION 
     4.356   PROCEDURAL             CONFLICT-RESOLUTION 
     4.357   PROCEDURAL             CONFLICT-RESOLUTION 
     4.358   PROCEDURAL             CONFLICT-RESOLUTION 
     4.359   PROCEDURAL             CONFLICT-RESOLUTION 
     4.360   PROCEDURAL             CONFLICT-RESOLUTION 
     4.361   PROCEDURAL             CONFLICT-RESOLUTION 
     4.362   PROCEDURAL             CONFLICT-RESOLUTION 
     4.363   PROCEDURAL             CONFLICT-RESOLUTION 
     4.364   PROCEDURAL             CONFLICT-RESOLUTION 
     4.365   PROCEDURAL             CONFLICT-RESOLUTION 
     4.366   PROCEDURAL             CONFLICT-RESOLUTION 
     4.367   PROCEDURAL             CONFLICT-RESOLUTION 
     4.368   PROCEDURAL             CONFLICT-RESOLUTION 
     4.369   PROCEDURAL             CONFLICT-RESOLUTION 
     4.370   PROCEDURAL             CONFLICT-RESOLUTION 
     4.371   PROCEDURAL             CONFLICT-RESOLUTION 
     4.372   PROCEDURAL             CONFLICT-RESOLUTION 
     4.373   PROCEDURAL             CONFLICT-RESOLUTION 
     4.374   PROCEDURAL             CONFLICT-RESOLUTION 
     4.375   PROCEDURAL             CONFLICT-RESOLUTION 
     4.376   PROCEDURAL             CONFLICT-RESOLUTION 
     4.377   PROCEDURAL             CONFLICT-RESOLUTION 
     4.378   PROCEDURAL             CONFLICT-RESOLUTION 
     4.379   PROCEDURAL             CONFLICT-RESOLUTION 
     4.380   PROCEDURAL             CONFLICT-RESOLUTION 
     4.381   PROCEDURAL             CONFLICT-RESOLUTION 
     4.382   PROCEDURAL             CONFLICT-RESOLUTION 
     4.383   PROCEDURAL             CONFLICT-RESOLUTION 
     4.384   PROCEDURAL             CONFLICT-RESOLUTION 
     4.385   PROCEDURAL             CONFLICT-RESOLUTION 
     4.386   PROCEDURAL             CONFLICT-RESOLUTION 
     4.387   PROCEDURAL             CONFLICT-RESOLUTION 
     4.388   PROCEDURAL             CONFLICT-RESOLUTION 
     4.389   PROCEDURAL             CONFLICT-RESOLUTION 
     4.390   PROCEDURAL             CONFLICT-RESOLUTION 
     4.391   PROCEDURAL             CONFLICT-RESOLUTION 
     4.392   PROCEDURAL             CONFLICT-RESOLUTION 
     4.393   PROCEDURAL             CONFLICT-RESOLUTION 
     4.394   PROCEDURAL             CONFLICT-RESOLUTION 
     4.395   PROCEDURAL             CONFLICT-RESOLUTION 
     4.396   PROCEDURAL             CONFLICT-RESOLUTION 
     4.397   PROCEDURAL             CONFLICT-RESOLUTION 
     4.398   PROCEDURAL             CONFLICT-RESOLUTION 
     4.399   PROCEDURAL             CONFLICT-RESOLUTION 
     4.400   PROCEDURAL             CONFLICT-RESOLUTION 
     4.401   PROCEDURAL             CONFLICT-RESOLUTION 
     4.402   PROCEDURAL             CONFLICT-RESOLUTION 
     4.403   PROCEDURAL             CONFLICT-RESOLUTION 
     4.404   PROCEDURAL             CONFLICT-RESOLUTION 
     4.405   PROCEDURAL             CONFLICT-RESOLUTION 
     4.406   PROCEDURAL             CONFLICT-RESOLUTION 
     4.407   PROCEDURAL             CONFLICT-RESOLUTION 
     4.408   PROCEDURAL             CONFLICT-RESOLUTION 
     4.409   PROCEDURAL             CONFLICT-RESOLUTION 
     4.410   PROCEDURAL             CONFLICT-RESOLUTION 
     4.411   PROCEDURAL             CONFLICT-RESOLUTION 
     4.412   PROCEDURAL             CONFLICT-RESOLUTION 
     4.413   PROCEDURAL             CONFLICT-RESOLUTION 
     4.414   PROCEDURAL             CONFLICT-RESOLUTION 
     4.415   PROCEDURAL             CONFLICT-RESOLUTION 
     4.416   PROCEDURAL             CONFLICT-RESOLUTION 
     4.417   PROCEDURAL             CONFLICT-RESOLUTION 
     4.418   PROCEDURAL             CONFLICT-RESOLUTION 
     4.419   PROCEDURAL             CONFLICT-RESOLUTION 
     4.420   PROCEDURAL             CONFLICT-RESOLUTION 
     4.421   PROCEDURAL             CONFLICT-RESOLUTION 
     4.422   PROCEDURAL             CONFLICT-RESOLUTION 
     4.423   PROCEDURAL             CONFLICT-RESOLUTION 
     4.424   PROCEDURAL             CONFLICT-RESOLUTION 
     4.425   PROCEDURAL             CONFLICT-RESOLUTION 
     4.426   PROCEDURAL             CONFLICT-RESOLUTION 
     4.427   PROCEDURAL             CONFLICT-RESOLUTION 
     4.428   PROCEDURAL             CONFLICT-RESOLUTION 
     4.429   PROCEDURAL             CONFLICT-RESOLUTION 
     4.430   PROCEDURAL             CONFLICT-RESOLUTION 
     4.431   PROCEDURAL             CONFLICT-RESOLUTION 
     4.432   PROCEDURAL             CONFLICT-RESOLUTION 
     4.433   PROCEDURAL             CONFLICT-RESOLUTION 
     4.434   PROCEDURAL             CONFLICT-RESOLUTION 
     4.435   PROCEDURAL             CONFLICT-RESOLUTION 
     4.436   PROCEDURAL             CONFLICT-RESOLUTION 
     4.437   PROCEDURAL             CONFLICT-RESOLUTION 
     4.438   PROCEDURAL             CONFLICT-RESOLUTION 
     4.439   PROCEDURAL             CONFLICT-RESOLUTION 
     4.440   PROCEDURAL             CONFLICT-RESOLUTION 
     4.441   PROCEDURAL             CONFLICT-RESOLUTION 
     4.442   PROCEDURAL             CONFLICT-RESOLUTION 
     4.443   PROCEDURAL             CONFLICT-RESOLUTION 
     4.444   PROCEDURAL             CONFLICT-RESOLUTION 
     4.445   PROCEDURAL             CONFLICT-RESOLUTION 
     4.446   PROCEDURAL             CONFLICT-RESOLUTION 
     4.447   PROCEDURAL             CONFLICT-RESOLUTION 
     4.448   PROCEDURAL             CONFLICT-RESOLUTION 
     4.449   PROCEDURAL             CONFLICT-RESOLUTION 
     4.450   PROCEDURAL             CONFLICT-RESOLUTION 
     4.451   PROCEDURAL             CONFLICT-RESOLUTION 
     4.452   PROCEDURAL             CONFLICT-RESOLUTION 
     4.453   PROCEDURAL             CONFLICT-RESOLUTION 
     4.454   PROCEDURAL             CONFLICT-RESOLUTION 
     4.455   PROCEDURAL             CONFLICT-RESOLUTION 
     4.456   PROCEDURAL             CONFLICT-RESOLUTION 
     4.457   PROCEDURAL             CONFLICT-RESOLUTION 
     4.458   PROCEDURAL             CONFLICT-RESOLUTION 
     4.468   PROCEDURAL             CONFLICT-RESOLUTION 
     4.518   PROCEDURAL             PRODUCTION-FIRED CLICK-SECOND-TILE 
     4.518   PROCEDURAL             CLEAR-BUFFER MANUAL 
     4.518   MOTOR                  CLICK-MOUSE 
     4.518   PROCEDURAL             CONFLICT-RESOLUTION 
     4.548   PROCEDURAL             CONFLICT-RESOLUTION 
     4.558   PROCEDURAL             CONFLICT-RESOLUTION 
     4.568   MOTOR                  OUTPUT-KEY #(28 2) 
*** CONCENTRATION: Clicked 3 #(305 206).
     4.568   PROCEDURAL             CONFLICT-RESOLUTION 
     4.578   PROCEDURAL             CONFLICT-RESOLUTION 
     4.628   PROCEDURAL             PRODUCTION-FIRED READ-SECOND-TILE 
     4.628   PROCEDURAL             CONFLICT-RESOLUTION 
     4.678   PROCEDURAL             PRODUCTION-FIRED NO-MATCH-FOUND-CHECK-EARLIER 
     4.678   PROCEDURAL             CLEAR-BUFFER VISUAL 
     4.678   PROCEDURAL             CLEAR-BUFFER IMAGINAL 
     4.678   PROCEDURAL             CLEAR-BUFFER RETRIEVAL 
     4.678   DECLARATIVE            START-RETRIEVAL 
     4.678   DECLARATIVE            RETRIEVAL-FAILURE 
     4.678   PROCEDURAL             CONFLICT-RESOLUTION 
     4.728   PROCEDURAL             PRODUCTION-FIRED START-FIND-UNATTENDED 
     4.728   PROCEDURAL             CLEAR-BUFFER VISUAL-LOCATION 
     4.728   VISION                 Find-location 
     4.728   VISION                 SET-BUFFER-CHUNK VISUAL-LOCATION VISUAL-LOCATION13-8 
     4.728   PROCEDURAL             CONFLICT-RESOLUTION 
     4.778   PROCEDURAL             PRODUCTION-FIRED ATTEND-FIRST-TILE 
     4.778   PROCEDURAL             CLEAR-BUFFER VISUAL-LOCATION 
     4.778   PROCEDURAL             CLEAR-BUFFER VISUAL 
     4.778   PROCEDURAL             CLEAR-BUFFER MANUAL 
     4.778   MOTOR                  MOVE-CURSOR OBJECT NIL LOC VISUAL-LOCATION13-8-0 
     4.778   PROCEDURAL             CONFLICT-RESOLUTION 
     4.818   PROCEDURAL             CONFLICT-RESOLUTION 
     4.819   PROCEDURAL             CONFLICT-RESOLUTION 
     4.820   PROCEDURAL             CONFLICT-RESOLUTION 
     4.821   PROCEDURAL             CONFLICT-RESOLUTION 
     4.822   PROCEDURAL             CONFLICT-RESOLUTION 
     4.823   PROCEDURAL             CONFLICT-RESOLUTION 
     4.824   PROCEDURAL             CONFLICT-RESOLUTION 
     4.825   PROCEDURAL             CONFLICT-RESOLUTION 
     4.826   PROCEDURAL             CONFLICT-RESOLUTION 
     4.827   PROCEDURAL             CONFLICT-RESOLUTION 
     4.828   PROCEDURAL             CONFLICT-RESOLUTION 
     4.829   PROCEDURAL             CONFLICT-RESOLUTION 
     4.830   PROCEDURAL             CONFLICT-RESOLUTION 
     4.831   PROCEDURAL             CONFLICT-RESOLUTION 
     4.832   PROCEDURAL             CONFLICT-RESOLUTION 
     4.833   PROCEDURAL             CONFLICT-RESOLUTION 
     4.834   PROCEDURAL             CONFLICT-RESOLUTION 
     4.835   PROCEDURAL             CONFLICT-RESOLUTION 
     4.836   PROCEDURAL             CONFLICT-RESOLUTION 
     4.837   PROCEDURAL             CONFLICT-RESOLUTION 
     4.838   PROCEDURAL             CONFLICT-RESOLUTION 
     4.839   PROCEDURAL             CONFLICT-RESOLUTION 
     4.840   PROCEDURAL             CONFLICT-RESOLUTION 
     4.841   PROCEDURAL             CONFLICT-RESOLUTION 
     4.842   PROCEDURAL             CONFLICT-RESOLUTION 
     4.843   PROCEDURAL             CONFLICT-RESOLUTION 
     4.844   PROCEDURAL             CONFLICT-RESOLUTION 
     4.845   PROCEDURAL             CONFLICT-RESOLUTION 
     4.846   PROCEDURAL             CONFLICT-RESOLUTION 
     4.847   PROCEDURAL             CONFLICT-RESOLUTION 
     4.848   PROCEDURAL             CONFLICT-RESOLUTION 
     4.849   PROCEDURAL             CONFLICT-RESOLUTION 
     4.850   PROCEDURAL             CONFLICT-RESOLUTION 
     4.851   PROCEDURAL             CONFLICT-RESOLUTION 
     4.852   PROCEDURAL             CONFLICT-RESOLUTION 
     4.853   PROCEDURAL             CONFLICT-RESOLUTION 
     4.854   PROCEDURAL             CONFLICT-RESOLUTION 
     4.855   PROCEDURAL             CONFLICT-RESOLUTION 
     4.856   PROCEDURAL             CONFLICT-RESOLUTION 
     4.857   PROCEDURAL             CONFLICT-RESOLUTION 
     4.858   PROCEDURAL             CONFLICT-RESOLUTION 
     4.859   PROCEDURAL             CONFLICT-RESOLUTION 
     4.860   PROCEDURAL             CONFLICT-RESOLUTION 
     4.861   PROCEDURAL             CONFLICT-RESOLUTION 
     4.862   PROCEDURAL             CONFLICT-RESOLUTION 
     4.863   VISION                 Encoding-complete VISUAL-LOCATION13-8-0 NIL 
     4.863   VISION                 SET-BUFFER-CHUNK VISUAL TEXT8 
     4.863   PROCEDURAL             CONFLICT-RESOLUTION 
     4.864   PROCEDURAL             CONFLICT-RESOLUTION 
     4.865   PROCEDURAL             CONFLICT-RESOLUTION 
     4.866   PROCEDURAL             CONFLICT-RESOLUTION 
     4.867   PROCEDURAL             CONFLICT-RESOLUTION 
     4.868   PROCEDURAL             CONFLICT-RESOLUTION 
     4.869   PROCEDURAL             CONFLICT-RESOLUTION 
     4.870   PROCEDURAL             CONFLICT-RESOLUTION 
     4.871   PROCEDURAL             CONFLICT-RESOLUTION 
     4.872   PROCEDURAL             CONFLICT-RESOLUTION 
     4.873   PROCEDURAL             CONFLICT-RESOLUTION 
     4.874   PROCEDURAL             CONFLICT-RESOLUTION 
     4.875   PROCEDURAL             CONFLICT-RESOLUTION 
     4.876   PROCEDURAL             CONFLICT-RESOLUTION 
     4.877   PROCEDURAL             CONFLICT-RESOLUTION 
     4.878   IMAGINAL               SET-BUFFER-CHUNK IMAGINAL TILE7 
     4.878   PROCEDURAL             CONFLICT-RESOLUTION 
     4.879   PROCEDURAL             CONFLICT-RESOLUTION 
     4.880   PROCEDURAL             CONFLICT-RESOLUTION 
     4.881   PROCEDURAL             CONFLICT-RESOLUTION 
     4.882   PROCEDURAL             CONFLICT-RESOLUTION 
     4.883   PROCEDURAL             CONFLICT-RESOLUTION 
     4.884   PROCEDURAL             CONFLICT-RESOLUTION 
     4.885   PROCEDURAL             CONFLICT-RESOLUTION 
     4.886   PROCEDURAL             CONFLICT-RESOLUTION 
     4.896   PROCEDURAL             CONFLICT-RESOLUTION 
     4.946   PROCEDURAL             PRODUCTION-FIRED CLICK-FIRST-TILE 
     4.946   PROCEDURAL             CLEAR-BUFFER MANUAL 
     4.946   MOTOR                  CLICK-MOUSE 
     4.946   PROCEDURAL             CONFLICT-RESOLUTION 
     4.976   PROCEDURAL             CONFLICT-RESOLUTION 
     4.986   PROCEDURAL             CONFLICT-RESOLUTION 
     4.996   MOTOR                  OUTPUT-KEY #(28 2) 
*** CONCENTRATION: Clicked 5 #(305 106).
     4.996   PROCEDURAL             CONFLICT-RESOLUTION 
     5.006   PROCEDURAL             CONFLICT-RESOLUTION 
     5.056   PROCEDURAL             PRODUCTION-FIRED READ-FIRST-TILE 
     5.056   PROCEDURAL             CLEAR-BUFFER VISUAL 
     5.056   PROCEDURAL             CLEAR-BUFFER IMAGINAL 
     5.056   PROCEDURAL             CONFLICT-RESOLUTION 
     5.256   IMAGINAL               SET-BUFFER-CHUNK IMAGINAL TILE8 
     5.256   PROCEDURAL             CONFLICT-RESOLUTION 
     5.306   PROCEDURAL             PRODUCTION-FIRED CHECK-FOR-MATCHING-SECOND-TILE 
     5.306   PROCEDURAL             CLEAR-BUFFER RETRIEVAL 
     5.306   DECLARATIVE            START-RETRIEVAL 
     5.306   DECLARATIVE            RETRIEVED-CHUNK TILE0-0 
     5.306   DECLARATIVE            SET-BUFFER-CHUNK RETRIEVAL TILE0-0 
     5.306   PROCEDURAL             CONFLICT-RESOLUTION 
     5.356   PROCEDURAL             PRODUCTION-FIRED FIND-MATCHING-SECOND-TILE 
     5.356   PROCEDURAL             CLEAR-BUFFER RETRIEVAL 
     5.356   PROCEDURAL             CLEAR-BUFFER VISUAL 
     5.356   PROCEDURAL             CLEAR-BUFFER MANUAL 
     5.356   MOTOR                  MOVE-CURSOR OBJECT NIL LOC VISUAL-LOCATION11-0-0 
     5.356   PROCEDURAL             CONFLICT-RESOLUTION 
     5.396   PROCEDURAL             CONFLICT-RESOLUTION 
     5.397   PROCEDURAL             CONFLICT-RESOLUTION 
     5.398   PROCEDURAL             CONFLICT-RESOLUTION 
     5.399   PROCEDURAL             CONFLICT-RESOLUTION 
     5.400   PROCEDURAL             CONFLICT-RESOLUTION 
     5.401   PROCEDURAL             CONFLICT-RESOLUTION 
     5.402   PROCEDURAL             CONFLICT-RESOLUTION 
     5.403   PROCEDURAL             CONFLICT-RESOLUTION 
     5.404   PROCEDURAL             CONFLICT-RESOLUTION 
     5.405   PROCEDURAL             CONFLICT-RESOLUTION 
     5.406   PROCEDURAL             CONFLICT-RESOLUTION 
     5.407   PROCEDURAL             CONFLICT-RESOLUTION 
     5.408   PROCEDURAL             CONFLICT-RESOLUTION 
     5.409   PROCEDURAL             CONFLICT-RESOLUTION 
     5.410   PROCEDURAL             CONFLICT-RESOLUTION 
     5.411   PROCEDURAL             CONFLICT-RESOLUTION 
     5.412   PROCEDURAL             CONFLICT-RESOLUTION 
     5.413   PROCEDURAL             CONFLICT-RESOLUTION 
     5.414   PROCEDURAL             CONFLICT-RESOLUTION 
     5.415   PROCEDURAL             CONFLICT-RESOLUTION 
